Abkhazia (region in Georgia)	Abkhaz, Abkhazian	https://en.wikipedia.org/wiki/Abkhazia
Afghanistan	Afghan	https://en.wikipedia.org/wiki/Afghanistan
Åland Islands	Åland Island	https://en.wikipedia.org/wiki/Åland_Islands
Albania	Albanian	https://en.wikipedia.org/wiki/Albania
Algeria	Algerian	https://en.wikipedia.org/wiki/Algeria
American Samoa	American Samoan	https://en.wikipedia.org/wiki/American_Samoa
Andorra	Andorran	https://en.wikipedia.org/wiki/Andorra
Angola	Angolan	https://en.wikipedia.org/wiki/Angola
Anguilla	Anguillan	https://en.wikipedia.org/wiki/Anguilla
Antarctica	Antarctic	https://en.wikipedia.org/wiki/Antarctica
Antigua and Barbuda	Antiguan or Barbudan	https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Argentina	Argentine	https://en.wikipedia.org/wiki/Argentina
Armenia	Armenian	https://en.wikipedia.org/wiki/Armenia
Aruba	Aruban	https://en.wikipedia.org/wiki/Aruba
Australia	Australian	https://en.wikipedia.org/wiki/Australia
Austria	Austrian	https://en.wikipedia.org/wiki/Austria
Azerbaijan	Azerbaijani, Azeri	https://en.wikipedia.org/wiki/Azerbaijan
Bahamas, The	Bahamian	https://en.wikipedia.org/wiki/The_Bahamas
Bahrain	Bahraini	https://en.wikipedia.org/wiki/Bahrain
Bangladesh	Bangladeshi	https://en.wikipedia.org/wiki/Bangladesh
Barbados	Barbadian	https://en.wikipedia.org/wiki/Barbados
Belarus	Belarusian	https://en.wikipedia.org/wiki/Belarus
Belgium	Belgian	https://en.wikipedia.org/wiki/Belgium
Belize	Belizean	https://en.wikipedia.org/wiki/Belize
Benin	Beninese, Beninois	https://en.wikipedia.org/wiki/Benin
Bermuda	Bermudian, Bermudan	https://en.wikipedia.org/wiki/Bermuda
Bhutan	Bhutanese	https://en.wikipedia.org/wiki/Bhutan
Bolivia	Bolivian	https://en.wikipedia.org/wiki/Bolivia
Bonaire	Bonaire	https://en.wikipedia.org/wiki/Bonaire
Bosnia and Herzegovina	Bosnian or Herzegovinian	https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana	Motswana, Botswanan	https://en.wikipedia.org/wiki/Botswana
Bouvet Island	Bouvet Island	https://en.wikipedia.org/wiki/Bouvet_Island
Brazil	Brazilian	https://en.wikipedia.org/wiki/Brazil
British Indian Ocean Territory	BIOT	https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory
Brunei	Bruneian	https://en.wikipedia.org/wiki/Brunei
Bulgaria	Bulgarian	https://en.wikipedia.org/wiki/Bulgaria
Burkina Faso	Burkinabé	https://en.wikipedia.org/wiki/Burkina_Faso
Burma	Burmese	https://en.wikipedia.org/wiki/Burma
Burundi	Burundian	https://en.wikipedia.org/wiki/Burundi
Cabo Verde	Cabo Verdean	https://en.wikipedia.org/wiki/Cape_Verde
Cambodia	Cambodian	https://en.wikipedia.org/wiki/Cambodia
Cameroon	Cameroonian	https://en.wikipedia.org/wiki/Cameroon
Canada	Canadian	https://en.wikipedia.org/wiki/Canada
Cayman Islands	Caymanian	https://en.wikipedia.org/wiki/Cayman_Islands
Central African Republic	Central African	https://en.wikipedia.org/wiki/Central_African_Republic
Chad	Chadian	https://en.wikipedia.org/wiki/Chad
Chile	Chilean	https://en.wikipedia.org/wiki/Chile
China, People's Republic of	Chinese	https://en.wikipedia.org/wiki/China
China, Republic of	Chinese	https://en.wikipedia.org/wiki/Taiwan
Christmas Island	Christmas Island	https://en.wikipedia.org/wiki/Christmas_Island
Cocos (Keeling) Islands	Cocos Island	https://en.wikipedia.org/wiki/Cocos_%28Keeling%29_Islands
Colombia	Colombian	https://en.wikipedia.org/wiki/Colombia
Comoros	Comoran, Comorian	https://en.wikipedia.org/wiki/Comoros
Congo, Democratic Republic of the	Congolese	https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Congo, Republic of the	Congolese	https://en.wikipedia.org/wiki/Republic_of_the_Congo
Cook Islands	Cook Island	https://en.wikipedia.org/wiki/Cook_Islands
Costa Rica	Costa Rican	https://en.wikipedia.org/wiki/Costa_Rica
Côte d'Ivoire	Ivorian	https://en.wikipedia.org/wiki/Ivory_Coast
Croatia	Croatian	https://en.wikipedia.org/wiki/Croatia
Cuba	Cuban	https://en.wikipedia.org/wiki/Cuba
Curaçao	Curaçaoan	https://en.wikipedia.org/wiki/Curaçao
Cyprus	Cypriot	https://en.wikipedia.org/wiki/Cyprus
Czech Republic	Czech	https://en.wikipedia.org/wiki/Czech_Republic
Denmark	Danish	https://en.wikipedia.org/wiki/Denmark
Djibouti	Djiboutian	https://en.wikipedia.org/wiki/Djibouti
Dominica	Dominican	https://en.wikipedia.org/wiki/Dominica
Dominican Republic	Dominican	https://en.wikipedia.org/wiki/Dominican_Republic
East Timor	Timorese	https://en.wikipedia.org/wiki/East_Timor
Ecuador	Ecuadorian	https://en.wikipedia.org/wiki/Ecuador
Egypt	Egyptian	https://en.wikipedia.org/wiki/Egypt
El Salvador	Salvadoran	https://en.wikipedia.org/wiki/El_Salvador
Equatorial Guinea	Equatorial Guinean, Equatoguinean	https://en.wikipedia.org/wiki/Equatorial_Guinea
Eritrea	Eritrean	https://en.wikipedia.org/wiki/Eritrea
Estonia	Estonian	https://en.wikipedia.org/wiki/Estonia
Ethiopia	Ethiopian	https://en.wikipedia.org/wiki/Ethiopia
European Union	European	https://en.wikipedia.org/wiki/European_Union
Falkland Islands	Falkland Island	https://en.wikipedia.org/wiki/Falkland_Islands
Faroe Islands	Faroese	https://en.wikipedia.org/wiki/Faroe_Islands
Fiji	Fijian	https://en.wikipedia.org/wiki/Fiji
Finland	Finnish	https://en.wikipedia.org/wiki/Finland
France	French	https://en.wikipedia.org/wiki/France
French Guiana	French Guianese	https://en.wikipedia.org/wiki/French_Guiana
French Polynesia	French Polynesian	https://en.wikipedia.org/wiki/French_Polynesia
French Southern Territories	French Southern Territories	https://en.wikipedia.org/wiki/French_Southern_Territories
Gabon	Gabonese	https://en.wikipedia.org/wiki/Gabon
Gambia, The	Gambian	https://en.wikipedia.org/wiki/The_Gambia
Georgia	Georgian	https://en.wikipedia.org/wiki/Georgia_%28country%29
Germany	German	https://en.wikipedia.org/wiki/Germany
Ghana	Ghanaian	https://en.wikipedia.org/wiki/Ghana
Gibraltar	Gibraltar	https://en.wikipedia.org/wiki/Gibraltar
Greece	Greek, Hellenic	https://en.wikipedia.org/wiki/Greece
Greenland	Greenlandic	https://en.wikipedia.org/wiki/Greenland
Grenada	Grenadian	https://en.wikipedia.org/wiki/Grenada
Guadeloupe	Guadeloupe	https://en.wikipedia.org/wiki/Guadeloupe
Guam	Guamanian, Guambat	https://en.wikipedia.org/wiki/Guam
Guatemala	Guatemalan	https://en.wikipedia.org/wiki/Guatemala
Guernsey	Channel Island	https://en.wikipedia.org/wiki/Guernsey
Guinea	Guinean	https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau	Bissau-Guinean	https://en.wikipedia.org/wiki/Guinea-Bissau
Guyana	Guyanese	https://en.wikipedia.org/wiki/Guyana
Haiti	Haitian	https://en.wikipedia.org/wiki/Haiti
Heard Island and McDonald Islands	Heard Island or McDonald Islands	https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
Honduras	Honduran	https://en.wikipedia.org/wiki/Honduras
Hong Kong	Hong Kong, Hong Kongese	https://en.wikipedia.org/wiki/Hong_Kong
Hungary	Hungarian, Magyar	https://en.wikipedia.org/wiki/Hungary
Iceland	Icelandic	https://en.wikipedia.org/wiki/Iceland
India	Indian	https://en.wikipedia.org/wiki/India
Indonesia	Indonesian	https://en.wikipedia.org/wiki/Indonesia
Iran	Iranian, Persian	https://en.wikipedia.org/wiki/Iran
Iraq	Iraqi	https://en.wikipedia.org/wiki/Iraq
Ireland	Irish	https://en.wikipedia.org/wiki/Republic_of_Ireland
Isle of Man	Manx	https://en.wikipedia.org/wiki/Isle_of_Man
Israel	Israeli	https://en.wikipedia.org/wiki/Israel
Italy	Italian	https://en.wikipedia.org/wiki/Italy
Ivory Coast	Ivorian	https://en.wikipedia.org/wiki/Ivory_Coast
Jamaica	Jamaican	https://en.wikipedia.org/wiki/Jamaica
Jan Mayen	Jan Mayen	https://en.wikipedia.org/wiki/Jan_Mayen
Japan	Japanese	https://en.wikipedia.org/wiki/Japan
Jersey	Channel Island	https://en.wikipedia.org/wiki/Jersey
Jordan	Jordanian	https://en.wikipedia.org/wiki/Jordan
Kazakhstan	Kazakhstani, Kazakh	https://en.wikipedia.org/wiki/Kazakhstan
Kenya	Kenyan	https://en.wikipedia.org/wiki/Kenya
Kiribati	I-Kiribati	https://en.wikipedia.org/wiki/Kiribati
North Korea	North Korean	https://en.wikipedia.org/wiki/North_Korea
South Korea	South Korean	https://en.wikipedia.org/wiki/South_Korea
Kosovo	Kosovar, Kosovan	https://en.wikipedia.org/wiki/Kosovo
Kuwait	Kuwaiti	https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan	Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz	https://en.wikipedia.org/wiki/Kyrgyzstan
Laos	Lao, Laotian	https://en.wikipedia.org/wiki/Laos
Latvia	Latvian, Lettish	https://en.wikipedia.org/wiki/Latvia
Lebanon	Lebanese	https://en.wikipedia.org/wiki/Lebanon
Lesotho	Basotho	https://en.wikipedia.org/wiki/Lesotho
Liberia	Liberian	https://en.wikipedia.org/wiki/Liberia
Libya	Libyan	https://en.wikipedia.org/wiki/Libya
Liechtenstein	Liechtensteiner	https://en.wikipedia.org/wiki/Liechtenstein
Lithuania	Lithuanian	https://en.wikipedia.org/wiki/Lithuania
Luxembourg	Luxembourg, Luxembourgish	https://en.wikipedia.org/wiki/Luxembourg
Macau	Macanese, Chinese	https://en.wikipedia.org/wiki/Macau
Macedonia, Republic of	Macedonian	https://en.wikipedia.org/wiki/Republic_of_Macedonia
Madagascar	Malagasy	https://en.wikipedia.org/wiki/Madagascar
Malawi	Malawian	https://en.wikipedia.org/wiki/Malawi
Malaysia	Malaysian	https://en.wikipedia.org/wiki/Malaysia
Maldives	Maldivian	https://en.wikipedia.org/wiki/Maldives
Mali	Malian, Malinese	https://en.wikipedia.org/wiki/Mali
Malta	Maltese	https://en.wikipedia.org/wiki/Malta
Marshall Islands	Marshallese	https://en.wikipedia.org/wiki/Marshall_Islands
Martinique	Martiniquais, Martinican	https://en.wikipedia.org/wiki/Martinique
Mauritania	Mauritanian	https://en.wikipedia.org/wiki/Mauritania
Mauritius	Mauritian	https://en.wikipedia.org/wiki/Mauritius
Mayotte	Mahoran	https://en.wikipedia.org/wiki/Mayotte
Mexico	Mexican	https://en.wikipedia.org/wiki/Mexico
Micronesia, Federated States of	Micronesian	https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Moldova	Moldovan	https://en.wikipedia.org/wiki/Moldova
Monaco	Monégasque, Monacan	https://en.wikipedia.org/wiki/Monaco
Mongolia	Mongolian	https://en.wikipedia.org/wiki/Mongolia
Montenegro	Montenegrin	https://en.wikipedia.org/wiki/Montenegro
Montserrat	Montserratian	https://en.wikipedia.org/wiki/Montserrat
Morocco	Moroccan	https://en.wikipedia.org/wiki/Morocco
Mozambique	Mozambican	https://en.wikipedia.org/wiki/Mozambique
Myanmar	Burmese	https://en.wikipedia.org/wiki/Burma
Namibia	Namibian	https://en.wikipedia.org/wiki/Namibia
Nauru	Nauruan	https://en.wikipedia.org/wiki/Nauru
Nepal	Nepali, Nepalese	https://en.wikipedia.org/wiki/Nepal
Netherlands	Dutch, Netherlandic	https://en.wikipedia.org/wiki/Netherlands
New Caledonia	New Caledonian	https://en.wikipedia.org/wiki/New_Caledonia
New Zealand	New Zealand, NZ	https://en.wikipedia.org/wiki/New_Zealand
Nicaragua	Nicaraguan	https://en.wikipedia.org/wiki/Nicaragua
Niger	Nigerien	https://en.wikipedia.org/wiki/Niger
Nigeria	Nigerian	https://en.wikipedia.org/wiki/Nigeria
Niue	Niuean	https://en.wikipedia.org/wiki/Niue
Norfolk Island	Norfolk Island	https://en.wikipedia.org/wiki/Norfolk_Island
Northern Ireland	Northern Irish, British	https://en.wikipedia.org/wiki/Northern_Ireland
Northern Mariana Islands	Northern Marianan	https://en.wikipedia.org/wiki/Northern_Mariana_Islands
Norway	Norwegian	https://en.wikipedia.org/wiki/Norway
Oman	Omani	https://en.wikipedia.org/wiki/Oman
Pakistan	Pakistani	https://en.wikipedia.org/wiki/Pakistan
Palau	Palauan	https://en.wikipedia.org/wiki/Palau
Palestine	Palestinian	https://en.wikipedia.org/wiki/State_of_Palestine
Panama	Panamanian	https://en.wikipedia.org/wiki/Panama
Papua New Guinea	Papua New Guinean, Papuan	https://en.wikipedia.org/wiki/Papua_New_Guinea
Paraguay	Paraguayan	https://en.wikipedia.org/wiki/Paraguay
Peru	Peruvian	https://en.wikipedia.org/wiki/Peru
Philippines	Filipino, Philippine	https://en.wikipedia.org/wiki/Philippines
Pitcairn Islands	Pitcairn Island	https://en.wikipedia.org/wiki/Pitcairn_Islands
Poland	Polish	https://en.wikipedia.org/wiki/Poland
Portugal	Portuguese	https://en.wikipedia.org/wiki/Portugal
Puerto Rico	Puerto Rican	https://en.wikipedia.org/wiki/Puerto_Rico
Qatar	Qatari	https://en.wikipedia.org/wiki/Qatar
Réunion	Réunionese, Réunionnais	https://en.wikipedia.org/wiki/Réunion
Romania	Romanian	https://en.wikipedia.org/wiki/Romania
Russia	Russian	https://en.wikipedia.org/wiki/Russia
Rwanda	Rwandan	https://en.wikipedia.org/wiki/Rwanda
Saba	Saba	https://en.wikipedia.org/wiki/Saba
Saint Barthélemy	Barthélemois	https://en.wikipedia.org/wiki/Saint_Barthélemy
Saint Helena, Ascension and Tristan da Cunha	Saint Helenian	https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha
Saint Kitts and Nevis	Kittitian or Nevisian	https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint Lucia	Saint Lucian	https://en.wikipedia.org/wiki/Saint_Lucia
Saint Martin	Saint-Martinoise	https://en.wikipedia.org/wiki/Collectivity_of_Saint_Martin
Saint Pierre and Miquelon	Saint-Pierrais or Miquelonnais	https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon
Saint Vincent and the Grenadines	Saint Vincentian, Vincentian	https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Samoa	Samoan	https://en.wikipedia.org/wiki/Samoa
San Marino	Sammarinese	https://en.wikipedia.org/wiki/San_Marino
São Tomé and Príncipe	São Toméan	https://en.wikipedia.org/wiki/São_Tomé_and_Príncipe
Saudi Arabia	Saudi, Saudi Arabian	https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal	Senegalese	https://en.wikipedia.org/wiki/Senegal
Serbia	Serbian	https://en.wikipedia.org/wiki/Serbia
Seychelles	Seychellois	https://en.wikipedia.org/wiki/Seychelles
Sierra Leone	Sierra Leonean	https://en.wikipedia.org/wiki/Sierra_Leone
Singapore	Singapore, Singaporean[15][16]	https://en.wikipedia.org/wiki/Singapore
Sint Eustatius	Sint Eustatius, Statian	https://en.wikipedia.org/wiki/Sint_Eustatius
Sint Maarten	Sint Maarten	https://en.wikipedia.org/wiki/Sint_Maarten
Slovakia	Slovak	https://en.wikipedia.org/wiki/Slovakia
Slovenia	Slovenian, Slovene	https://en.wikipedia.org/wiki/Slovenia
Solomon Islands	Solomon Island	https://en.wikipedia.org/wiki/Solomon_Islands
Somalia	Somali	https://en.wikipedia.org/wiki/Somalia
Somaliland	Somalilander	https://en.wikipedia.org/wiki/Somaliland
South Africa	South African	https://en.wikipedia.org/wiki/South_Africa
South Georgia and the South Sandwich Islands	South Georgia or South Sandwich Islands	https://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands
South Ossetia (Region of Georgia)	South Ossetian	https://en.wikipedia.org/wiki/South_Ossetia_%28Region_of_Georgia%29
South Sudan	South Sudanese	https://en.wikipedia.org/wiki/South_Sudan
Spain	Spanish	https://en.wikipedia.org/wiki/Spain
Sri Lanka	Sri Lankan	https://en.wikipedia.org/wiki/Sri_Lanka
Sudan	Sudanese	https://en.wikipedia.org/wiki/Sudan
Surinam	Surinamese	https://en.wikipedia.org/wiki/Surinam
Svalbard	Svalbard	https://en.wikipedia.org/wiki/Svalbard
Swaziland	Swazi	https://en.wikipedia.org/wiki/Swaziland
Sweden	Swedish	https://en.wikipedia.org/wiki/Sweden
Switzerland	Swiss	https://en.wikipedia.org/wiki/Switzerland
Syria	Syrian	https://en.wikipedia.org/wiki/Syria
Tajikistan	Tajikistani	https://en.wikipedia.org/wiki/Tajikistan
Tanzania	Tanzanian	https://en.wikipedia.org/wiki/Tanzania
Thailand	Thai	https://en.wikipedia.org/wiki/Thailand
Timor-Leste	Timorese	https://en.wikipedia.org/wiki/East_Timor
Togo	Togolese	https://en.wikipedia.org/wiki/Togo
Tokelau	Tokelauan	https://en.wikipedia.org/wiki/Tokelau
Tonga	Tongan	https://en.wikipedia.org/wiki/Tonga
Trinidad and Tobago	Trinidadian or Tobagonian	https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Tunisia	Tunisian	https://en.wikipedia.org/wiki/Tunisia
Turkey	Turkish	https://en.wikipedia.org/wiki/Turkey
Turkmenistan	Turkmen	https://en.wikipedia.org/wiki/Turkmenistan
Turks and Caicos Islands	Turks and Caicos Island	https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands
Tuvalu	Tuvaluan	https://en.wikipedia.org/wiki/Tuvalu
Uganda	Ugandan	https://en.wikipedia.org/wiki/Uganda
Ukraine	Ukrainian	https://en.wikipedia.org/wiki/Ukraine
United Arab Emirates	Emirati, Emirian, Emiri	https://en.wikipedia.org/wiki/United_Arab_Emirates
United Kingdom of Great Britain and Northern Ireland	British, UK	https://en.wikipedia.org/wiki/United_Kingdom_of_Great_Britain_and_Northern_Ireland
United States of America	Americans	https://en.wikipedia.org/wiki/United_States_of_America
Uruguay	Uruguayan	https://en.wikipedia.org/wiki/Uruguay
Uzbekistan	Uzbekistani, Uzbek	https://en.wikipedia.org/wiki/Uzbekistan
Vanuatu	Ni-Vanuatu, Vanuatuan	https://en.wikipedia.org/wiki/Vanuatu
Vatican City State	Vatican	https://en.wikipedia.org/wiki/Vatican_City
Venezuela	Venezuelan	https://en.wikipedia.org/wiki/Venezuela
Vietnam	Vietnamese	https://en.wikipedia.org/wiki/Vietnam
Virgin Islands, British	British Virgin Island	https://en.wikipedia.org/wiki/British_Virgin_Islands
Virgin Islands, United States	U.S. Virgin Island	https://en.wikipedia.org/wiki/United_States_Virgin_Islands
Wallis and Futuna	Wallis and Futuna, Wallisian or Futunan	https://en.wikipedia.org/wiki/Wallis_and_Futuna
Western Sahara	Sahrawi, Sahrawian, Sahraouian	https://en.wikipedia.org/wiki/Western_Sahara
Yemen	Yemeni	https://en.wikipedia.org/wiki/Yemen
Zambia	Zambian	https://en.wikipedia.org/wiki/Zambia
Zimbabwe	Zimbabwean	https://en.wikipedia.org/wiki/Zimbabwe
